TIME;VP;SC
1305.384;2756;1000
1308.378;2745;1000
1311.372;2750;1000
1314.366;2753;1000
1317.36;2745;1000
1320.354;2750;1000
1323.348;2753;1000
1326.342;2756;1000
1329.336;2757;1000
1332.33;2752;1000
1335.324;2751;1000
1338.318;2761;1000
1341.312;2757;1000
1344.306;2763;1000
1347.3;2750;1000
1350.294;2771;1000
1353.288;2759;1000
1356.282;2767;1000
1359.276;2775;1000
1362.27;2784;1000
1365.264;2773;1000
1368.258;2778;1000
1371.252;2777;1000
1374.246;2772;1000
1377.24;2775;1000
1380.234;2782;1000
1383.228;2778;1000
1386.222;2772;1000
1389.216;2781;1000
1392.21;2790;1000
1395.204;2777;1000
1398.198;2779;1000
1401.192;2783;1000
1404.186;2792;1000
1407.18;2781;1000
1410.174;2771;1000
1413.168;2772;1000
1416.162;2784;1000
1419.156;2784;1000
1422.15;2773;1000
1425.144;2759;1000
1428.138;2765;1000
1431.132;2765;1000
1434.126;2770;1000
1437.12;2761;1000
1440.114;2767;1000
1443.108;2769;1000
1446.102;2772;1000
1449.096;2772;1000
1452.09;2775;1000
1455.084;2779;1000
1458.078;2782;1000
1461.072;2780;1000
1464.066;2785;1000
1467.06;2771;1000
1470.054;2773;1000
1473.048;2782;1000
1476.042;2790;1000
1479.036;2791;1000
1482.03;2790;1000
1485.024;2791;1000
1488.018;2790;1000
1491.012;2790;1000
1494.006;2792;1000
1497;2796;1000
