Intervalo,VP,SP,SC
286.056,3698,3684,4524
286.878,3698,3684,4523
287.7,3697,3684,4523
288.522,3697,3684,4523
289.344,3697,3684,4523
290.166,3696,3684,4522
290.988,3697,3684,4522
291.81,3697,3684,4522
292.632,3697,3684,4521
293.454,3697,3684,4521
294.276,3697,3684,4521
295.098,3697,3684,4521
295.92,3694,3684,4522
296.742,3695,3684,4522
297.564,3695,3684,4521
298.386,3695,3684,4521
299.208,3694,3684,4521
300.03,3697,3684,4521
300.852,3697,3684,4521
301.674,3693,3684,4522
302.496,3694,3684,4521
303.318,3693,3684,4521
304.14,3693,3684,4521
304.962,3694,3684,4521
305.784,3694,3684,4520
306.606,3693,3684,4520
307.428,3694,3684,4520
308.25,3692,3684,4521
309.072,3692,3684,4521
309.894,3693,3684,4521
310.716,3692,3684,4520
311.538,3692,3684,4520
312.36,3692,3684,4520
313.182,3692,3684,4520
314.004,3693,3684,4520
314.826,3692,3684,4519
315.648,3692,3684,4520
316.47,3692,3684,4520
317.292,3692,3684,4520
318.114,3701,3684,4520
318.936,3691,3684,4515
319.758,3688,3684,4521
320.58,3688,3684,4521
321.402,3691,3684,4516
322.224,3690,3684,4520
323.046,3690,3684,4519
323.868,3690,3684,4519
324.69,3690,3684,4519
325.512,3690,3684,4519
326.334,3690,3684,4519
327.156,3690,3684,4519
327.978,3690,3684,4519
328.8,3690,3684,4519
329.622,3688,3684,4519
330.444,3688,3684,4519
331.266,3688,3684,4519
332.088,3688,3684,4520
332.91,3688,3684,4520
333.732,3688,3684,4520
334.554,3688,3684,4520
335.376,3689,3684,4520
336.198,3688,3684,4520
337.02,3688,3684,4520
337.842,3688,3684,4512
338.664,3688,3684,4512
339.486,3688,3684,4512
340.308,3688,3684,4512
341.13,3688,3684,4512
341.952,3688,3684,4519
342.774,3688,3684,4519
343.596,3687,3684,4519
344.418,3686,3684,4519
345.24,3686,3684,4519
346.062,3686,3684,4519
346.884,3686,3684,4519
347.706,3687,3684,4519
348.528,3687,3684,4519
349.35,3687,3684,4519
350.172,3688,3684,4518
350.994,3688,3684,4518
351.816,3687,3684,4518
352.638,3687,3684,4518
353.46,3687,3684,4518
354.282,3687,3684,4518
355.104,3684,3684,4518
