Nome do data point,Tempo,Valor,Processado,Comentario
uno - SP,2024-09-09 19:10:41,45.90208,45.90208,
uno - SP,2024-09-09 19:10:41,47.171712,47.171712,
uno - SP,2024-09-09 19:10:42,50.003968,50.003968,
uno - SP,2024-09-09 19:10:42,46.195072,46.195072,
uno - SP,2024-09-09 19:10:42,45.90208,45.90208,
uno - SP,2024-09-09 19:10:42,46.097408,46.097408,
uno - SP,2024-09-09 19:10:42,45.90208,45.90208,
uno - SP,2024-09-09 19:10:43,46.195072,46.195072,
uno - SP,2024-09-09 19:10:43,45.999744,45.999744,
uno - SP,2024-09-09 19:10:43,46.195072,46.195072,
uno - SP,2024-09-09 19:10:43,46.097408,46.097408,
uno - SP,2024-09-09 19:10:43,45.706752,45.706752,
uno - SP,2024-09-09 19:10:44,49.027328,49.027328,
uno - SP,2024-09-09 19:10:44,49.32032,49.32032,
uno - SP,2024-09-09 19:10:44,46.097408,46.097408,
uno - SP,2024-09-09 19:10:44,49.80864,49.80864,
uno - SP,2024-09-09 19:10:44,45.90208,45.90208,
uno - SP,2024-09-09 19:10:45,49.32032,49.32032,
uno - SP,2024-09-09 19:10:45,51.957248,51.957248,
uno - SP,2024-09-09 19:10:45,50.394624,50.394624,
uno - SP,2024-09-09 19:10:45,46.195072,46.195072,
uno - SP,2024-09-09 19:10:45,46.097408,46.097408,
uno - SP,2024-09-09 19:10:46,50.394624,50.394624,
uno - SP,2024-09-09 19:10:46,49.515648,49.515648,
uno - SP,2024-09-09 19:10:46,49.80864,49.80864,
uno - SP,2024-09-09 19:10:46,46.3904,46.3904,
uno - SP,2024-09-09 19:10:47,46.097408,46.097408,
uno - SP,2024-09-09 19:10:47,50.394624,50.394624,
uno - SP,2024-09-09 19:10:47,49.124992,49.124992,
uno - SP,2024-09-09 19:10:47,46.195072,46.195072,
uno - SP,2024-09-09 19:10:47,45.804416,45.804416,
uno - SP,2024-09-09 19:10:48,45.999744,45.999744,
uno - SP,2024-09-09 19:10:48,48.246016,48.246016,
uno - SP,2024-09-09 19:10:48,45.41376,45.41376,
uno - SP,2024-09-09 19:10:48,49.222656,49.222656,
uno - SP,2024-09-09 19:10:48,49.124992,49.124992,
uno - SP,2024-09-09 19:10:49,48.34368,48.34368,
uno - SP,2024-09-09 19:10:49,45.316096,45.316096,
uno - SP,2024-09-09 19:10:49,49.32032,49.32032,
uno - SP,2024-09-09 19:10:49,48.148352,48.148352,
uno - SP,2024-09-09 19:10:50,49.027328,49.027328,
uno - SP,2024-09-09 19:10:50,45.120768,45.120768,
uno - SP,2024-09-09 19:10:50,48.539008,48.539008,
uno - SP,2024-09-09 19:10:50,49.515648,49.515648,
uno - SP,2024-09-09 19:10:50,47.074048,47.074048,
uno - SP,2024-09-09 19:10:51,48.148352,48.148352,
uno - SP,2024-09-09 19:10:51,48.441344,48.441344,
uno - SP,2024-09-09 19:10:51,45.023104,45.023104,
uno - SP,2024-09-09 19:10:51,45.706752,45.706752,
uno - SP,2024-09-09 19:10:51,44.632448,44.632448,
uno - SP,2024-09-09 19:10:52,44.534784,44.534784,
uno - SP,2024-09-09 19:10:52,44.92544,44.92544,
uno - SP,2024-09-09 19:10:52,45.41376,45.41376,
uno - SP,2024-09-09 19:10:52,48.636672,48.636672,
uno - SP,2024-09-09 19:10:52,44.339456,44.339456,
uno - SP,2024-09-09 19:10:53,44.730112,44.730112,
uno - SP,2024-09-09 19:10:53,47.85536,47.85536,
uno - SP,2024-09-09 19:10:53,48.050688,48.050688,
uno - SP,2024-09-09 19:10:53,44.241792,44.241792,
uno - SP,2024-09-09 19:10:53,47.757696,47.757696,
uno - SP,2024-09-09 19:10:54,44.827776,44.827776,
uno - SP,2024-09-09 19:10:54,48.148352,48.148352,
uno - SP,2024-09-09 19:10:54,44.241792,44.241792,
uno - SP,2024-09-09 19:10:54,48.148352,48.148352,
uno - SP,2024-09-09 19:10:55,46.683392,46.683392,
uno - SP,2024-09-09 19:10:55,46.976384,46.976384,
uno - SP,2024-09-09 19:10:55,47.36704,47.36704,
uno - SP,2024-09-09 19:10:55,47.660032,47.660032,
uno - SP,2024-09-09 19:10:55,45.120768,45.120768,
uno - SP,2024-09-09 19:10:56,47.269376,47.269376,
uno - SP,2024-09-09 19:10:56,47.562368,47.562368,
uno - SP,2024-09-09 19:10:56,44.046464,44.046464,
uno - SP,2024-09-09 19:10:56,44.632448,44.632448,
uno - SP,2024-09-09 19:10:56,44.827776,44.827776,
uno - SP,2024-09-09 19:10:57,44.046464,44.046464,
uno - SP,2024-09-09 19:10:57,43.851136,43.851136,
uno - SP,2024-09-09 19:10:57,44.144128,44.144128,
uno - SP,2024-09-09 19:10:57,46.683392,46.683392,
uno - SP,2024-09-09 19:10:57,47.562368,47.562368,
uno - SP,2024-09-09 19:10:58,44.046464,44.046464,
uno - SP,2024-09-09 19:10:58,44.144128,44.144128,
uno - SP,2024-09-09 19:10:58,44.534784,44.534784,
uno - SP,2024-09-09 19:10:58,46.87872,46.87872,
uno - SP,2024-09-09 19:10:58,47.074048,47.074048,
uno - SP,2024-09-09 19:10:59,46.976384,46.976384,
